6th deg -3142.3x^6 + 54836x^5 - 389293x^4 + 1E+06x^2 + 3E+06x - 1E+06
8.71530491, 3.95368085
12.45229248, 3.95805556
16.16978272, 3.95805963
19.88727296, 3.95806369
23.60476319, 3.95806775
27.30275611, 3.95370116
31.00074902, 3.94933457
34.69874194, 3.94496798
38.41623217, 3.94497205
42.11422509, 3.94060546
45.83171533, 3.94060952
49.52970824, 3.93624293
53.24719848, 3.93624699
56.94519139, 3.9318804
60.66268163, 3.93188447
64.36067454, 3.92751788
68.07816478, 3.92752194
71.79565501, 3.92752599
75.51314526, 3.92753006
79.21113817, 3.92316347
82.92862841, 3.92316754
86.62662132, 3.91880095
90.34411156, 3.91880501
94.04210447, 3.91443842
97.75959472, 3.91444248
101.47708495, 3.91444654
105.17507787, 3.91007996
108.89256811, 3.91008402
112.61005835, 3.91008808
116.30805126, 3.90572149
120.0255415, 3.90572555
123.74303174, 3.9057296
127.44102465, 3.90136303
131.15851489, 3.90136709
134.87600513, 3.90137115
138.59349536, 3.9013752
142.29148828, 3.89700862
146.00897852, 3.89701268
149.72646876, 3.89701675
153.42446167, 3.89265016
157.14195191, 3.89265422
160.85944215, 3.89265828
164.57693239, 3.89266234
168.2749253, 3.88829575
171.99241554, 3.88829981
175.70990578, 3.88830388
179.40789869, 3.88393729
183.12538893, 3.88394135
186.84287917, 3.88394541
190.54087208, 3.87957883
194.25836232, 3.87958289
197.97585255, 3.87958695
201.6933428, 3.87959101
205.41083304, 3.87959507
209.12832328, 3.87959913
212.84581352, 3.8796032
216.54380643, 3.87523661
220.26129667, 3.87524067
223.97878691, 3.87524473
227.69627715, 3.87524879
231.39427006, 3.87088221
235.1117603, 3.87088627
238.82925053, 3.87089033
242.52724344, 3.86652373
246.24473369, 3.8665278
249.96222393, 3.86653186
253.66021684, 3.86216528
257.37770708, 3.86216934
261.09519732, 3.8621734
264.81268756, 3.86217745
268.51068047, 3.85781087
272.22817071, 3.85781493
275.94566095, 3.857819
279.64365386, 3.85345241
283.3611441, 3.85345647
287.07863434, 3.85346053
290.79612457, 3.85346459
294.49411749, 3.849098
298.21160772, 3.84910207
301.92909797, 3.84910613
305.62709088, 3.84473954
309.34458112, 3.8447436
313.06207136, 3.84474766
316.7795616, 3.84475173
320.47755452, 3.84038514
324.19504475, 3.8403892
327.91253499, 3.84039326
331.61052791, 3.83602666
335.32801815, 3.83603073
339.04550838, 3.8360348
342.7435013, 3.83166821
346.46099154, 3.83167226
350.17848178, 3.83167633
353.89597201, 3.83168039
357.61346225, 3.83168446
361.33095249, 3.83168852
365.02894541, 3.82732193
368.74643565, 3.82732598
372.44442856, 3.8229594
376.1619188, 3.82296346
379.87940904, 3.82296753
383.57740195, 3.81860094
387.29489219, 3.818605
391.01238243, 3.81860906
394.72987267, 3.81861312
398.42786558, 3.81424653
402.14535582, 3.8142506
405.86284605, 3.81425466
409.56083897, 3.80988807
413.2783292, 3.80989213
416.97632211, 3.80552554
420.69381236, 3.80552959
424.4113026, 3.80553367
428.10929551, 3.80116708
431.82678575, 3.80117114
435.54427599, 3.80117519
439.2422689, 3.79680861
442.95975914, 3.79681267
446.67724938, 3.79681674
450.37524229, 3.79245015
454.09273253, 3.79245421
457.81022277, 3.79245827
461.50821569, 3.78809168
465.22570593, 3.78809574
468.94319615, 3.7880998
472.6606864, 3.78810387
476.35867932, 3.78373728
480.07616956, 3.78374134
483.79365979, 3.7837454
487.4916527, 3.77937882
491.20914295, 3.77938288
494.92663319, 3.77938694
498.64412342, 3.779391
498.6246261, 3.77502035
502.32261901, 3.77065376
506.04010925, 3.77065782
509.75759949, 3.77066189
513.47508973, 3.77066595
517.17308264, 3.76629936
520.89057288, 3.76630341
524.60806312, 3.76630748
528.32555336, 3.76631154
532.02354627, 3.76194496
535.74103651, 3.76194901
539.43902942, 3.75758243
543.15651966, 3.75758649
546.8740099, 3.75759055
550.59150014, 3.75759461
554.30899038, 3.75759868
558.02648062, 3.75760274
561.72447353, 3.75323615
565.44196377, 3.75324021
569.15945401, 3.75324427
572.85744692, 3.74887769
576.57493716, 3.74888175
580.2924274, 3.74888581
583.99042031, 3.74451922
587.70791055, 3.74452328
591.42540078, 3.74452733
595.1233937, 3.74016076
598.84088393, 3.74016482
602.55837418, 3.74016888
606.2563671, 3.73580229
609.97385733, 3.73580635
613.69134757, 3.73581041
617.40883781, 3.73581448
621.12632805, 3.73581854
624.84381829, 3.7358226
628.5418112, 3.73145601
632.25930144, 3.73146007
635.97679168, 3.73146414
639.6747846, 3.72709754
643.39227483, 3.72710161
647.10976507, 3.72710567
650.80775799, 3.72273908
654.52524822, 3.72274314
658.24273846, 3.72274721
661.94073138, 3.71838062
665.65822162, 3.71838468
669.37571186, 3.71838874
673.09320209, 3.7183928
676.79119501, 3.71402621
680.50868525, 3.71403028
684.22617549, 3.71403434
687.9241684, 3.70966775
691.64165864, 3.70967181
695.35914888, 3.70967586
699.07663912, 3.70967994
702.77463203, 3.70531335
706.49212226, 3.70531741
710.20961251, 3.70532147
713.92710275, 3.70532553
717.62509566, 3.70095894
721.3425859, 3.70096301
725.06007614, 3.70096707
728.75806905, 3.69660047
732.47555929, 3.69660454
736.19304953, 3.6966086
739.91053977, 3.69661266
743.60853268, 3.69224607
747.32602292, 3.69225014
751.04351316, 3.6922542
754.74150607, 3.68788761
758.45899631, 3.68789167
762.17648655, 3.68789573
765.89397679, 3.68789979
769.61146703, 3.68790386
773.32895727, 3.68790792
777.04644751, 3.68791198
780.74444042, 3.68354539
784.46193066, 3.68354946
